Time (s),ωy (rad/s),Voltage (mV)
69.19000244140625,-7.7083940505981445,-0.014711756259202957
69.19999694824219,-7.630396366119385,-0.015517977066338062
69.20999908447266,-7.540813446044922,-0.012558870017528534
69.22000122070312,-7.4507036209106445,-0.0122532295063138
69.2300033569336,-7.362654685974121,-0.007295212242752314
69.23999786376953,-7.269432544708252,-0.006554510910063982
69.25,-7.173168659210205,-0.0023976294323801994
69.26000213623047,-7.0778303146362305,0.0011095493100583553
69.2699966430664,-6.98252534866333,0.00222002319060266
69.27999877929688,-6.8863606452941895,0.004409944638609886
69.29000091552734,-6.778710842132568,0.007849293760955334
69.30000305175781,-6.6791815757751465,0.00814101006835699
69.30999755859375,-6.573352336883545,0.012689445167779922
69.31999969482422,-6.465250015258789,0.01488213986158371
69.33000183105469,-6.361335754394531,0.018579868599772453
69.33999633789062,-6.25874137878418,0.02260132133960724
69.3499984741211,-6.158935546875,0.024171872064471245
69.36000061035156,-6.0536885261535645,0.025776222348213196
69.37000274658203,-5.947658538818359,0.0281425379216671
69.37999725341797,-5.839351654052734,0.0338422954082489
69.38999938964844,-5.730400562286377,0.03146615996956825
69.4000015258789,-5.620750904083252,0.03258264437317848
69.41000366210938,-5.50400972366333,0.034606799483299255
69.41999816894531,-5.385663032531738,0.03551309183239937
69.43000030517578,-5.268103122711182,0.03453689068555832
69.44000244140625,-5.155582904815674,0.03428734838962555
69.44999694824219,-5.045201778411865,0.030909767374396324
69.45999908447266,-4.9247660636901855,0.031361062079668045
69.47000122070312,-4.806199550628662,0.030655836686491966
69.4800033569336,-4.685035705566406,0.027514733374118805
69.48999786376953,-4.560725212097168,0.024484042078256607
69.5,-4.438595294952393,0.022839419543743134
69.51000213623047,-4.3159565925598145,0.020445428788661957
69.5199966430664,-4.19308614730835,0.02119392901659012
69.52999877929688,-4.067868709564209,0.023953070864081383
69.54000091552734,-3.941786050796509,0.015584709122776985
69.55000305175781,-3.819143772125244,0.013937775045633316
